,state
"(40.0, -86.0)",Indiana
"(39.7, -86.0)",Indiana
"(39.9, -86.1)",Indiana
"(39.9, -86.0)",Indiana
"(39.1, -86.2)",Indiana
"(41.2, -86.2)",Indiana
"(39.8, -86.0)",Indiana
"(39.8, -85.8)",Indiana
"(39.9, -86.2)",Indiana
"(39.5, -84.4)",Ohio
"(40.1, -85.8)",Indiana
"(40.1, -85.9)",Indiana
"(40.2, -85.4)",Indiana
"(43.0, -88.0)",Wisconsin
"(39.8, -86.1)",Indiana
"(40.1, -85.7)",Indiana
"(40.7, -86.4)",Indiana
"(39.9, -85.4)",Indiana
"(40.7, -85.1)",Indiana
"(40.1, -86.0)",Indiana
"(39.7, -86.1)",Indiana
"(40.0, -85.9)",Indiana
"(35.9, -83.6)",Kentucky
"(35.8, -83.5)",Kentucky
"(30.4, -86.5)",Alabama
"(39.8, -85.9)",Indiana
"(39.6, -86.0)",Indiana
"(33.6, -84.4)",Georgia
"(40.6, -111.5)",Utah
"(39.9, -104.7)",Colorado
"(35.9, -83.5)",Kentucky
"(36.2, -86.7)",Tennessee
"(33.8, -84.4)",Georgia
"(34.5, -85.0)",Tennessee
"(24.6, -82.0)",Florida
"(39.8, -86.2)",Indiana
"(36.7, -86.5)",Tennessee
"(36.6, -89.5)",Tennessee
"(44.5, -88.1)",Wisconsin
"(40.5, -86.1)",Indiana
"(35.2, -80.9)",South Carolina
"(25.8, -80.3)",Florida
"(35.7, -83.5)",Tennessee
"(35.9, -86.4)",Tennessee
"(26.7, -80.3)",Florida
"(39.4, -87.1)",Indiana
"(42.6, -87.9)",Wisconsin
"(39.5, -106.2)",Colorado
"(28.4, -81.3)",Florida
"(30.2, -97.7)",Texas
"(40.5, -86.9)",Indiana
"(39.0, -84.6)",Kentucky
"(28.3, -99.1)",Texas
"(28.0, -82.5)",Florida
"(39.9, -105.9)",Colorado
"(27.9, -82.5)",Florida
"(40.5, -85.7)",Indiana
"(34.9, -85.5)",Tennessee
"(36.2, -86.8)",Tennessee
"(25.8, -80.1)",Florida
"(41.7, -85.0)",Indiana
"(32.2, -80.8)",South Carolina
"(39.8, -86.3)",Indiana
"(39.1, -88.5)",Illinois
"(35.6, -82.5)",South Carolina
"(33.4, -84.5)",Georgia
"(40.8, -87.2)",Indiana
"(37.3, -86.0)",Kentucky
"(39.8, -85.5)",Indiana
"(41.9, -87.6)",Indiana
"(39.1, -84.9)",Kentucky
"(36.3, -86.7)",Tennessee
"(26.6, -81.8)",Florida
"(39.4, -85.4)",Indiana
"(36.9, -86.4)",Tennessee
"(26.5, -81.9)",Florida
"(37.1, -84.7)",Kentucky
"(40.6, -85.5)",Indiana
"(41.4, -85.3)",Indiana
"(40.4, -86.9)",Indiana
"(39.7, -86.3)",Indiana
"(26.0, -81.7)",Florida
"(25.9, -81.7)",Florida
"(39.6, -86.8)",Indiana
"(41.1, -85.1)",Indiana
"(36.0, -83.9)",Kentucky
"(41.5, -83.6)",Ohio
"(26.5, -81.7)",Florida
"(36.1, -86.7)",Tennessee
"(27.9, -82.3)",Florida
"(38.7, -90.4)",Illinois
"(37.9, -84.7)",Kentucky
"(38.8, -85.4)",Kentucky
"(34.0, -84.4)",Georgia
"(26.5, -81.8)",Florida
"(39.3, -84.5)",Indiana
"(27.8, -82.7)",Florida
"(24.7, -81.4)",Florida
