,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,District of Columbia,Puerto Rico
Alabama,11497923.0,405.0,2340.0,11703.0,6557.0,3166.0,2860.0,461.0,97748.0,294223.0,228.0,402.0,14243.0,10795.0,2724.0,2237.0,14240.0,45912.0,339.0,875.0,329.0,8206.0,3123.0,144613.0,9394.0,293.0,982.0,548.0,442.0,3038.0,1199.0,2013.0,14552.0,321.0,8357.0,6719.0,1689.0,3794.0,1064.0,13822.0,193.0,184919.0,33886.0,839.0,190.0,5396.0,1248.0,1725.0,3824.0,355.0,2206.0,166.0
Alaska,261.0,450393.0,795.0,103.0,1532.0,418.0,146.0,12.0,900.0,413.0,317.0,264.0,372.0,134.0,129.0,135.0,100.0,184.0,12.0,16.0,8.0,275.0,198.0,109.0,277.0,254.0,79.0,201.0,40.0,29.0,136.0,80.0,260.0,36.0,319.0,231.0,3382.0,137.0,137.0,120.0,36.0,433.0,1321.0,257.0,9.0,316.0,0.0,40.0,205.0,100.0,92.0,8.0
Arizona,4527.0,2275.0,8564560.0,4746.0,207717.0,28046.0,6553.0,689.0,17463.0,9275.0,2610.0,7301.0,26565.0,13548.0,13823.0,6660.0,4101.0,5006.0,543.0,770.0,318.0,14574.0,24489.0,3367.0,13875.0,3617.0,6939.0,23021.0,954.0,4458.0,21072.0,2112.0,8267.0,5056.0,11512.0,10861.0,36343.0,6371.0,2511.0,4193.0,3685.0,7644.0,51972.0,20249.0,340.0,4661.0,1009.0,1113.0,16034.0,2211.0,2599.0,308.0
Arkansas,9028.0,198.0,2650.0,6236546.0,6560.0,2834.0,1549.0,210.0,8589.0,8552.0,129.0,406.0,11730.0,5646.0,2969.0,7189.0,4885.0,32802.0,119.0,335.0,68.0,3583.0,1932.0,100997.0,89947.0,231.0,1415.0,603.0,206.0,898.0,1859.0,533.0,4031.0,455.0,4499.0,117253.0,2012.0,2343.0,401.0,3154.0,305.0,40693.0,82421.0,873.0,73.0,2225.0,403.0,1107.0,2358.0,313.0,825.0,77.0
California,9349.0,2813.0,173525.0,8473.0,35668978.0,28916.0,20803.0,1488.0,45060.0,26613.0,14597.0,14968.0,29530.0,17607.0,8596.0,8816.0,6483.0,12188.0,930.0,1303.0,1166.0,18920.0,20685.0,5926.0,16989.0,5016.0,5435.0,96711.0,1499.0,12481.0,9934.0,6192.0,16728.0,1960.0,16752.0,18216.0,100445.0,13544.0,9321.0,8628.0,1670.0,14665.0,105073.0,38521.0,788.0,13969.0,2323.0,1183.0,12708.0,2081.0,8152.0,1091.0
Colorado,6860.0,706.0,20899.0,5581.0,33805.0,6017963.0,6004.0,568.0,30569.0,14513.0,1257.0,4092.0,15466.0,9277.0,10765.0,19879.0,3604.0,9588.0,245.0,1127.0,327.0,7297.0,9946.0,5864.0,18061.0,2732.0,22673.0,4186.0,588.0,4067.0,22124.0,3099.0,8204.0,2766.0,7739.0,20928.0,10808.0,5298.0,2099.0,4832.0,3709.0,9054.0,98785.0,20373.0,370.0,5684.0,1453.0,952.0,7473.0,21183.0,2680.0,500.0
Connecticut,4261.0,176.0,6375.0,1873.0,21731.0,3682.0,15564669.0,3864.0,59132.0,17232.0,465.0,693.0,12458.0,6391.0,3968.0,3096.0,4172.0,3215.0,4520.0,929.0,43395.0,9335.0,3600.0,4359.0,4542.0,373.0,1161.0,1898.0,9215.0,316161.0,668.0,62857.0,19809.0,654.0,18962.0,2154.0,4907.0,105287.0,92796.0,9865.0,244.0,7879.0,35910.0,2812.0,15835.0,17995.0,427.0,1791.0,3119.0,208.0,15780.0,2781.0
Delaware,343.0,16.0,211.0,100.0,392.0,288.0,4305.0,937260.0,2603.0,856.0,48.0,8.0,392.0,375.0,183.0,141.0,281.0,181.0,68.0,14308.0,156.0,346.0,103.0,99.0,243.0,20.0,28.0,114.0,192.0,39422.0,39.0,2508.0,2144.0,4.0,678.0,139.0,137.0,54736.0,612.0,820.0,0.0,443.0,868.0,53.0,40.0,29268.0,3384.0,452.0,122.0,64.0,59666.0,44.0
Florida,178520.0,1817.0,15138.0,14652.0,42909.0,23540.0,113466.0,9668.0,31515329.0,373011.0,1266.0,3125.0,106810.0,89583.0,27786.0,13709.0,46277.0,38024.0,7533.0,11012.0,8098.0,138324.0,64452.0,44196.0,42563.0,2008.0,9321.0,5304.0,13144.0,78411.0,3530.0,47846.0,90781.0,3395.0,120183.0,19505.0,14862.0,91402.0,46456.0,59520.0,3552.0,82676.0,141876.0,9995.0,5116.0,54309.0,8343.0,12916.0,53718.0,1042.0,31088.0,17517.0
Georgia,414585.0,599.0,5038.0,8819.0,16784.0,6039.0,16736.0,1643.0,310346.0,17663199.0,752.0,1067.0,20289.0,18109.0,5282.0,4279.0,18204.0,15047.0,876.0,2312.0,773.0,18815.0,7234.0,23498.0,11358.0,615.0,2402.0,1702.0,1191.0,9888.0,1652.0,6452.0,73240.0,709.0,23727.0,6898.0,5025.0,12827.0,4336.0,188666.0,431.0,145080.0,40459.0,3175.0,657.0,20856.0,2401.0,4473.0,7938.0,404.0,8915.0,1085.0
